"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_multiplication_good[2147483647-1]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[1--2147483649-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_multiplication_good[1-2147483647]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_division_good[1--2147483648]",""
"skipped","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_value_error[2147483648-1-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[1-2147483648-division]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","5","tests","test_error_codes","","","","test_post_error_code_5_1[addition]",""
"passed","Sun Apr 10 21:44:08 GMT+07:00 2022","Sun Apr 10 21:44:12 GMT+07:00 2022","3795","tests","test_app","","","","test_launching[Калькулятор не запущен]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_2[json2-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_addition_good[10-5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-1200000.0-division]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_2[json3-multiplication]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","2","tests","test_error_codes","","","","test_post_error_code_2[json3-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_type_error[8.1-1-remainder]",""
